AFRIKAANS,ENGLISH
nie,not
ek,I
is,is
het,has
jy,you
n,a
dit,it
my,me
en,and
ons,we
wat,what
jou,your
van,of
in,in
te,to
hy,he
vir,for
sy,his
maar,but
gaan,go
sal,shall
kan,can
om,about
dis,that's
so,so
u,you
met,with
dat,that
hulle,they
as,as
was,wash
ja,yes
kom,come
moet,must
nou,now
hier,here
daar,there
op,on
wil,want
na,after
hom,him
weet,know
haar,her
aan,on
wees,be
net,only
nee,no
doen,do
nog,yet
goed,well
dan,then
hoe,how
ook,also
word,become
s,s
sien,see
julle,you
laat,late
by,at
al,already
sê,say
se,say
baie,very
hierdie,this
soos,as
maak,make
dink,think
of,or
toe,then
waar,where
oor,over
alles,everything
een,one
niks,nothing
uit,out
hou,keep
bly,stay
iets,something
waarom,why
wie,who
meer,more
sou,would
kry,get
kyk,look
goeie,good
man,man
dankie,thank you
weer,again
deur,by
tog,yet
praat,talk
gee,give
dag,day
vertel,tell
geen,no
werk,work
hê,have
weg,away
nooit,never
wel,yes
almal,everyone
reg,right
kon,could
mense,people
lewe,life
wag,wait
altyd,always
terug,back
wou,wanted
dood,death
sit,sit
ma,mother
daardie,that
moenie,don't
o,oh
gesê,said
bietjie,a little
ander,other
saam,together
mooi,pretty
help,help
mag,may
vra,ask
lyk,looks
voor,before
majesteit,majesty
tyd,time
asseblief,please
vrou,woman
ken,know
tot,to
god,God
regtig,really
iemand,somebody
groot,big
seker,sure
neem,take
twee,two
want,because
eers,first
nodig,necessary
kind,child
af,off
jammer,sorry
miskien,perhaps
hoor,hear
beter,better
begin,start
gedoen,done
meneer,sir
anders,else
jaar,year
gebeur,happen
gesien,seen
verstaan,understand
los,loose
pa,dad
probeer,try
vader,father
huis,house
elke,each
natuurlik,natural
omdat,because
moes,had to
lank,tall
mnr,Mr.
môre,tomorrow
gelukkig,happy
glo,believe
gou,soon
eerste,first
mens,human
alleen,alone
kinders,children
naam,name
lief,sweet
speel,play
seun,son
genoeg,enough
niemand,nobody
staan,stand
gedink,thought
sonder,without
vergeet,forget
voel,bird
slaap,sleep
luister,listen
liefde,love
selfs,even
heer,lord
klein,small
verkeerd,wrong
vandag,today
bedoel,mean
nuwe,new
daarvan,of that
soek,search
geld,money
teen,against
graag,like
hoekom,why
stop,stop
t,t
self,self
onder,under
bring,bring
ag,eight
liewe,dear
eet,eat
onthou,remember
ou,old
keer,times
gehad,had
de,the
die,the
